customer_id,loan_amount,interest_rate,loan_term,credit_score,income,debt_to_income,employment_length,home_ownership,loan_purpose,payment_history,missed_payments,account_age,existing_loans,savings_balance,monthly_payment,remaining_balance,default_flag,branch,loan_type
CUST001,500000,12.5,36,720,85000,0.35,5,RENT,PERSONAL,GOOD,0,24,1,25000,16500,450000,0,MUMBAI,PERSONAL
CUST002,750000,11.0,48,680,65000,0.42,3,RENT,HOME_IMPROVEMENT,FAIR,1,18,2,15000,19500,680000,0,DELHI,HOME_IMPROVEMENT
CUST003,1000000,10.5,60,650,55000,0.55,2,MORTGAGE,BUSINESS,POOR,3,12,3,8000,21500,890000,1,BANGALORE,BUSINESS
CUST004,300000,13.0,24,750,95000,0.28,7,OWN,EDUCATION,EXCELLENT,0,36,0,50000,14200,280000,0,MUMBAI,EDUCATION
CUST005,600000,11.5,36,700,75000,0.38,4,RENT,PERSONAL,GOOD,0,20,1,20000,19800,550000,0,CHENNAI,PERSONAL
CUST006,1200000,9.5,72,620,45000,0.65,1,RENT,BUSINESS,POOR,4,8,4,5000,19500,1080000,1,KOLKATA,BUSINESS
CUST007,400000,12.0,30,730,80000,0.32,6,MORTGAGE,HOME_IMPROVEMENT,GOOD,0,28,1,30000,13800,370000,0,MUMBAI,HOME_IMPROVEMENT
CUST008,900000,10.0,60,670,60000,0.48,3,RENT,PERSONAL,FAIR,2,15,2,12000,19100,810000,0,DELHI,PERSONAL
CUST009,250000,13.5,18,780,105000,0.22,8,OWN,EDUCATION,EXCELLENT,0,42,0,60000,15200,230000,0,BANGALORE,EDUCATION
CUST010,800000,10.8,48,660,58000,0.50,2,RENT,BUSINESS,POOR,3,10,3,10000,21800,720000,1,CHENNAI,BUSINESS
CUST011,550000,11.8,36,710,78000,0.36,5,MORTGAGE,PERSONAL,GOOD,0,22,1,22000,18200,500000,0,MUMBAI,PERSONAL
CUST012,1100000,9.8,66,630,48000,0.60,2,RENT,BUSINESS,POOR,4,9,4,6000,18300,990000,1,KOLKATA,BUSINESS
CUST013,350000,12.8,24,740,88000,0.30,6,OWN,HOME_IMPROVEMENT,GOOD,0,30,1,35000,15700,320000,0,DELHI,HOME_IMPROVEMENT
CUST014,700000,11.2,42,690,70000,0.40,4,RENT,PERSONAL,FAIR,1,16,2,18000,18900,630000,0,CHENNAI,PERSONAL
CUST015,1500000,9.0,84,600,40000,0.70,1,RENT,BUSINESS,POOR,5,6,5,4000,19500,1350000,1,BANGALORE,BUSINESS
CUST016,450000,12.2,30,720,82000,0.34,5,MORTGAGE,EDUCATION,GOOD,0,26,1,28000,16000,410000,0,MUMBAI,EDUCATION
CUST017,850000,10.2,54,675,62000,0.46,3,RENT,PERSONAL,FAIR,2,14,2,14000,19400,765000,0,DELHI,PERSONAL
CUST018,280000,13.2,20,770,100000,0.24,7,OWN,HOME_IMPROVEMENT,EXCELLENT,0,38,0,55000,15800,250000,0,BANGALORE,HOME_IMPROVEMENT
CUST019,950000,9.9,60,655,56000,0.52,2,RENT,BUSINESS,POOR,3,11,3,9000,20100,855000,1,CHENNAI,BUSINESS
CUST020,520000,11.6,36,715,76000,0.37,5,MORTGAGE,PERSONAL,GOOD,0,21,1,21000,18500,470000,0,MUMBAI,PERSONAL
CUST021,1050000,9.6,72,625,46000,0.62,1,RENT,BUSINESS,POOR,4,8,4,5500,18000,945000,1,KOLKATA,BUSINESS
CUST022,380000,12.6,28,735,86000,0.31,6,OWN,EDUCATION,GOOD,0,29,1,32000,15900,340000,0,DELHI,EDUCATION
CUST023,720000,11.0,45,685,68000,0.41,4,RENT,PERSONAL,FAIR,1,17,2,17000,19200,650000,0,CHENNAI,PERSONAL
CUST024,1300000,9.2,78,615,42000,0.68,1,RENT,BUSINESS,POOR,5,7,5,4500,18800,1170000,1,BANGALORE,BUSINESS
CUST025,420000,12.4,32,725,84000,0.33,5,MORTGAGE,HOME_IMPROVEMENT,GOOD,0,27,1,27000,16100,380000,0,MUMBAI,HOME_IMPROVEMENT
CUST026,880000,10.4,56,670,64000,0.47,3,RENT,PERSONAL,FAIR,2,13,2,13000,19600,792000,0,DELHI,PERSONAL
CUST027,320000,13.0,22,775,102000,0.23,8,OWN,EDUCATION,EXCELLENT,0,40,0,58000,15400,290000,0,BANGALORE,EDUCATION
CUST028,920000,10.0,60,660,59000,0.49,2,RENT,BUSINESS,POOR,3,10,3,9500,20000,828000,1,CHENNAI,BUSINESS
CUST029,580000,11.4,36,705,77000,0.39,5,MORTGAGE,PERSONAL,GOOD,0,19,1,20500,18700,520000,0,MUMBAI,PERSONAL
CUST030,1150000,9.4,72,620,47000,0.63,1,RENT,BUSINESS,POOR,4,8,4,5800,18200,1035000,1,KOLKATA,BUSINESS
CUST031,480000,12.0,30,730,81000,0.35,6,OWN,HOME_IMPROVEMENT,GOOD,0,25,1,29000,16300,430000,0,DELHI,HOME_IMPROVEMENT
CUST032,780000,10.6,48,680,66000,0.43,3,RENT,PERSONAL,FAIR,1,16,2,16000,19300,700000,0,CHENNAI,PERSONAL
CUST033,260000,13.4,18,780,104000,0.21,8,OWN,EDUCATION,EXCELLENT,0,44,0,62000,15300,230000,0,BANGALORE,EDUCATION
CUST034,980000,9.7,66,650,57000,0.51,2,RENT,BUSINESS,POOR,3,11,3,8500,19900,882000,1,CHENNAI,BUSINESS
CUST035,540000,11.7,36,712,79000,0.36,5,MORTGAGE,PERSONAL,GOOD,0,20,1,20800,18400,480000,0,MUMBAI,PERSONAL
CUST036,1080000,9.5,72,628,49000,0.58,2,RENT,BUSINESS,POOR,4,9,4,6200,18100,972000,1,KOLKATA,BUSINESS
CUST037,360000,12.7,26,738,87000,0.32,6,OWN,EDUCATION,GOOD,0,31,1,33000,15600,320000,0,DELHI,EDUCATION
CUST038,740000,11.1,45,688,69000,0.42,4,RENT,PERSONAL,FAIR,1,15,2,17500,19100,660000,0,CHENNAI,PERSONAL
CUST039,1250000,9.1,78,618,43000,0.66,1,RENT,BUSINESS,POOR,5,7,5,4800,18600,1125000,1,BANGALORE,BUSINESS
CUST040,460000,12.3,30,722,83000,0.34,5,MORTGAGE,HOME_IMPROVEMENT,GOOD,0,26,1,26500,16200,410000,0,MUMBAI,HOME_IMPROVEMENT
CUST041,860000,10.3,54,672,63000,0.45,3,RENT,PERSONAL,FAIR,2,14,2,13500,19500,774000,0,DELHI,PERSONAL
CUST042,300000,13.1,20,772,101000,0.25,7,OWN,EDUCATION,EXCELLENT,0,39,0,57000,15500,270000,0,BANGALORE,EDUCATION
CUST043,940000,9.8,60,658,58000,0.50,2,RENT,BUSINESS,POOR,3,10,3,9200,20200,846000,1,CHENNAI,BUSINESS
CUST044,560000,11.5,36,708,78000,0.38,5,MORTGAGE,PERSONAL,GOOD,0,21,1,20300,18600,500000,0,MUMBAI,PERSONAL
CUST045,1120000,9.3,72,623,48000,0.61,1,RENT,BUSINESS,POOR,4,8,4,5600,17900,1008000,1,KOLKATA,BUSINESS
CUST046,400000,12.5,28,732,85000,0.33,6,OWN,HOME_IMPROVEMENT,GOOD,0,28,1,29500,15800,350000,0,DELHI,HOME_IMPROVEMENT
CUST047,760000,10.7,48,682,67000,0.44,3,RENT,PERSONAL,FAIR,1,17,2,16500,19400,680000,0,CHENNAI,PERSONAL
CUST048,270000,13.3,18,776,103000,0.22,8,OWN,EDUCATION,EXCELLENT,0,41,0,59000,15200,240000,0,BANGALORE,EDUCATION
CUST049,960000,9.6,66,652,56000,0.53,2,RENT,BUSINESS,POOR,3,11,3,8800,19800,864000,1,CHENNAI,BUSINESS
CUST050,500000,11.9,36,718,77000,0.37,5,MORTGAGE,PERSONAL,GOOD,0,22,1,20000,18500,450000,0,MUMBAI,PERSONAL
CUST051,1180000,9.2,72,626,47500,0.59,2,RENT,BUSINESS,POOR,4,9,4,6000,18000,1062000,1,KOLKATA,BUSINESS
CUST052,340000,12.9,24,740,89000,0.30,6,OWN,EDUCATION,GOOD,0,32,1,32500,15700,300000,0,DELHI,EDUCATION
CUST053,700000,11.3,42,686,69000,0.40,4,RENT,PERSONAL,FAIR,1,16,2,18000,19000,630000,0,CHENNAI,PERSONAL
CUST054,1280000,9.0,78,616,44000,0.67,1,RENT,BUSINESS,POOR,5,6,4,4700,18700,1152000,1,BANGALORE,BUSINESS
CUST055,440000,12.1,30,724,82000,0.35,5,MORTGAGE,HOME_IMPROVEMENT,GOOD,0,25,1,26800,16400,390000,0,MUMBAI,HOME_IMPROVEMENT
CUST056,840000,10.5,54,674,62000,0.46,3,RENT,PERSONAL,FAIR,2,13,2,14000,19700,756000,0,DELHI,PERSONAL
CUST057,290000,13.6,20,778,106000,0.20,8,OWN,EDUCATION,EXCELLENT,0,43,0,63000,15100,260000,0,BANGALORE,EDUCATION
CUST058,900000,9.9,60,664,60000,0.48,2,RENT,BUSINESS,POOR,3,10,3,9400,20100,810000,1,CHENNAI,BUSINESS
CUST059,520000,11.8,36,710,76000,0.38,5,MORTGAGE,PERSONAL,GOOD,0,20,1,20600,18300,460000,0,MUMBAI,PERSONAL
CUST060,1140000,9.4,72,624,48500,0.60,2,RENT,BUSINESS,POOR,4,8,4,5900,18100,1026000,1,KOLKATA,BUSINESS
CUST061,370000,12.8,26,736,86000,0.31,6,OWN,EDUCATION,GOOD,0,30,1,32800,15600,330000,0,DELHI,EDUCATION
CUST062,720000,11.2,45,684,71000,0.41,4,RENT,PERSONAL,FAIR,1,15,2,17200,19200,650000,0,CHENNAI,PERSONAL
CUST063,1260000,9.1,78,617,43500,0.65,1,RENT,BUSINESS,POOR,5,7,5,4900,18500,1134000,1,BANGALORE,BUSINESS
CUST064,450000,12.2,30,723,84000,0.34,5,MORTGAGE,HOME_IMPROVEMENT,GOOD,0,27,1,26700,16100,400000,0,MUMBAI,HOME_IMPROVEMENT
CUST065,820000,10.6,48,676,64000,0.47,3,RENT,PERSONAL,FAIR,2,14,2,15500,19600,740000,0,DELHI,PERSONAL
CUST066,310000,13.0,22,774,102000,0.24,7,OWN,EDUCATION,EXCELLENT,0,37,0,56000,15400,280000,0,BANGALORE,EDUCATION
CUST067,920000,10.0,60,662,59500,0.49,2,RENT,BUSINESS,POOR,3,11,3,9300,20000,828000,1,CHENNAI,BUSINESS
CUST068,540000,11.6,36,706,77500,0.39,5,MORTGAGE,PERSONAL,GOOD,0,19,1,20700,18500,480000,0,MUMBAI,PERSONAL
CUST069,1160000,9.3,72,629,49500,0.57,2,RENT,BUSINESS,POOR,4,9,4,6100,18200,1044000,1,KOLKATA,BUSINESS
CUST070,390000,12.6,28,734,88000,0.32,6,OWN,EDUCATION,GOOD,0,29,1,33100,15500,350000,0,DELHI,EDUCATION
CUST071,740000,11.0,45,686,70000,0.42,4,RENT,PERSONAL,FAIR,1,16,2,17600,19100,660000,0,CHENNAI,PERSONAL
CUST072,1220000,9.2,78,619,44500,0.64,1,RENT,BUSINESS,POOR,5,7,5,5000,18400,1098000,1,BANGALORE,BUSINESS
CUST073,470000,12.4,30,721,82500,0.35,5,MORTGAGE,HOME_IMPROVEMENT,GOOD,0,26,1,26600,16300,420000,0,MUMBAI,HOME_IMPROVEMENT
CUST074,800000,10.4,54,670,63000,0.45,3,RENT,PERSONAL,FAIR,2,13,2,13800,19500,720000,0,DELHI,PERSONAL
CUST075,280000,13.2,20,773,100000,0.25,7,OWN,EDUCATION,EXCELLENT,0,38,0,54000,15600,250000,0,BANGALORE,EDUCATION
CUST076,940000,9.7,66,656,57500,0.51,2,RENT,BUSINESS,POOR,3,10,3,9100,19900,846000,1,CHENNAI,BUSINESS
CUST077,560000,11.5,36,709,77000,0.38,5,MORTGAGE,PERSONAL,GOOD,0,21,1,20400,18600,500000,0,MUMBAI,PERSONAL
CUST078,1100000,9.5,72,627,49000,0.58,2,RENT,BUSINESS,POOR,4,8,4,6300,18000,990000,1,KOLKATA,BUSINESS
CUST079,410000,12.0,30,731,81500,0.36,6,OWN,HOME_IMPROVEMENT,GOOD,0,24,1,29200,15900,370000,0,DELHI,HOME_IMPROVEMENT
CUST080,760000,10.8,48,683,68000,0.43,3,RENT,PERSONAL,FAIR,1,17,2,16700,19300,680000,0,CHENNAI,PERSONAL
CUST081,330000,13.1,22,771,99000,0.26,7,OWN,EDUCATION,EXCELLENT,0,36,0,52000,15700,300000,0,BANGALORE,EDUCATION
CUST082,960000,9.6,66,654,56500,0.52,2,RENT,BUSINESS,POOR,3,11,3,8700,19700,864000,1,CHENNAI,BUSINESS
CUST083,580000,11.4,36,711,76500,0.39,5,MORTGAGE,PERSONAL,GOOD,0,20,1,20900,18400,520000,0,MUMBAI,PERSONAL
CUST084,1060000,9.4,72,630,50000,0.56,2,RENT,BUSINESS,POOR,4,9,4,6400,17900,954000,1,KOLKATA,BUSINESS
CUST085,350000,12.7,26,737,87500,0.31,6,OWN,EDUCATION,GOOD,0,31,1,32600,15600,310000,0,DELHI,EDUCATION
CUST086,700000,11.1,45,687,70500,0.41,4,RENT,PERSONAL,FAIR,1,15,2,17300,19200,630000,0,CHENNAI,PERSONAL
CUST087,1240000,9.0,78,615,44000,0.68,1,RENT,BUSINESS,POOR,5,6,4,4600,18800,1116000,1,BANGALORE,BUSINESS
CUST088,430000,12.3,30,726,83500,0.34,5,MORTGAGE,HOME_IMPROVEMENT,GOOD,0,25,1,26900,16200,380000,0,MUMBAI,HOME_IMPROVEMENT
CUST089,820000,10.5,54,675,62500,0.46,3,RENT,PERSONAL,FAIR,2,14,2,13600,19600,740000,0,DELHI,PERSONAL
CUST090,300000,13.5,18,779,107000,0.19,8,OWN,EDUCATION,EXCELLENT,0,42,0,61000,15000,270000,0,BANGALORE,EDUCATION
CUST091,900000,9.8,60,666,60500,0.47,2,RENT,BUSINESS,POOR,3,10,3,9500,20200,810000,1,CHENNAI,BUSINESS
CUST092,540000,11.7,36,713,78000,0.37,5,MORTGAGE,PERSONAL,GOOD,0,19,1,20500,18500,480000,0,MUMBAI,PERSONAL
CUST093,1080000,9.3,72,631,50500,0.55,2,RENT,BUSINESS,POOR,4,8,4,6500,17800,972000,1,KOLKATA,BUSINESS
CUST094,380000,12.9,24,739,88500,0.30,6,OWN,EDUCATION,GOOD,0,33,1,32700,15500,340000,0,DELHI,EDUCATION
CUST095,720000,11.2,45,685,69500,0.42,4,RENT,PERSONAL,FAIR,1,16,2,17400,19100,650000,0,CHENNAI,PERSONAL
CUST096,1200000,9.1,78,618,44500,0.63,1,RENT,BUSINESS,POOR,5,7,5,5100,18300,1080000,1,BANGALORE,BUSINESS
CUST097,460000,12.1,30,722,83000,0.35,5,MORTGAGE,HOME_IMPROVEMENT,GOOD,0,26,1,26400,16300,410000,0,MUMBAI,HOME_IMPROVEMENT
CUST098,780000,10.7,48,681,66500,0.44,3,RENT,PERSONAL,FAIR,2,13,2,16200,19400,700000,0,DELHI,PERSONAL
CUST099,320000,13.0,22,775,101000,0.23,7,OWN,EDUCATION,EXCELLENT,0,35,0,53000,15800,290000,0,BANGALORE,EDUCATION
CUST100,940000,9.7,66,657,57000,0.50,2,RENT,BUSINESS,POOR,3,11,3,8900,19800,846000,1,CHENNAI,BUSINESS
